,image_id,Assymetric_decimal
0,ISIC_0001769,0.324
1,ISIC_0001852,0.118
2,ISIC_0001871,0.101
3,ISIC_0003462,0.088
4,ISIC_0003539,0.287
5,ISIC_0003582,0.165
6,ISIC_0003657,0.149
7,ISIC_0003805,0.109
8,ISIC_0004337,0.099
9,ISIC_0006651,0.083
10,ISIC_0006671,0.146
11,ISIC_0006815,0.179
12,ISIC_0006914,0.117
13,ISIC_0007141,0.057
14,ISIC_0007156,0.067
15,ISIC_0007235,0.099
16,ISIC_0007241,0.147
17,ISIC_0007332,0.096
18,ISIC_0007344,0.264
19,ISIC_0007528,0.148
20,ISIC_0007796,0.09
21,ISIC_0008025,0.065
22,ISIC_0008524,0.323
23,ISIC_0009995,0.075
24,ISIC_0010459,0.151
25,ISIC_0012099,0.34
26,ISIC_0012109,0.14
27,ISIC_0012126,0.126
28,ISIC_0012127,0.275
29,ISIC_0012143,0.185
30,ISIC_0012151,0.249
31,ISIC_0012159,0.457
32,ISIC_0012160,0.483
33,ISIC_0012191,0.31
34,ISIC_0012201,0.184
35,ISIC_0012204,0.243
36,ISIC_0012206,0.164
37,ISIC_0012210,0.407
38,ISIC_0012221,0.094
39,ISIC_0012222,0.216
40,ISIC_0012254,0.099
41,ISIC_0012256,0.243
42,ISIC_0012288,0.193
43,ISIC_0012306,0.149
44,ISIC_0012313,0.099
45,ISIC_0012316,0.147
46,ISIC_0012335,0.216
47,ISIC_0012380,0.049
48,ISIC_0012383,0.19
49,ISIC_0012400,0.177
50,ISIC_0012417,0.166
51,ISIC_0012434,0.162
52,ISIC_0012492,0.144
53,ISIC_0012513,0.101
54,ISIC_0012538,0.553
55,ISIC_0012547,0.095
56,ISIC_0012660,0.207
57,ISIC_0012684,0.217
58,ISIC_0012720,0.189
59,ISIC_0012746,0.237
60,ISIC_0012876,0.144
61,ISIC_0012927,0.19
62,ISIC_0012956,0.149
63,ISIC_0012959,0.061
64,ISIC_0012965,0.098
65,ISIC_0013010,0.13
66,ISIC_0013082,0.11
67,ISIC_0013104,0.326
68,ISIC_0013127,0.236
69,ISIC_0013128,0.144
70,ISIC_0013132,0.127
71,ISIC_0013188,0.081
72,ISIC_0013215,0.133
73,ISIC_0013232,0.243
74,ISIC_0013421,0.178
75,ISIC_0013491,0.115
76,ISIC_0013501,0.32
77,ISIC_0013518,0.153
78,ISIC_0013527,0.343
79,ISIC_0013549,0.111
80,ISIC_0013561,0.068
81,ISIC_0013562,0.071
82,ISIC_0013632,0.113
83,ISIC_0013637,0.092
84,ISIC_0013644,0.232
85,ISIC_0013651,0.185
86,ISIC_0013663,0.335
87,ISIC_0013702,0.156
88,ISIC_0013736,0.214
89,ISIC_0013793,0.263
90,ISIC_0013828,0.212
91,ISIC_0013863,0.262
92,ISIC_0013898,0.384
93,ISIC_0013945,0.404
94,ISIC_0014037,0.534
95,ISIC_0014038,0.311
96,ISIC_0014055,0.211
97,ISIC_0014139,0.184
98,ISIC_0014162,0.185
99,ISIC_0014178,0.394
100,ISIC_0014211,0.269
101,ISIC_0014212,0.264
102,ISIC_0014217,0.236
103,ISIC_0014302,0.415
104,ISIC_0014310,0.063
105,ISIC_0014382,0.191
106,ISIC_0014428,0.06
107,ISIC_0014558,0.238
108,ISIC_0014568,0.164
109,ISIC_0014572,0.138
110,ISIC_0014597,0.137
111,ISIC_0014601,0.218
112,ISIC_0014608,0.174
113,ISIC_0014610,0.253
114,ISIC_0014611,0.163
115,ISIC_0014616,0.113
116,ISIC_0014618,0.594
117,ISIC_0014620,0.124
118,ISIC_0014623,0.123
119,ISIC_0014624,0.245
120,ISIC_0014633,0.226
121,ISIC_0014635,0.175
122,ISIC_0014637,0.236
123,ISIC_0014688,0.158
124,ISIC_0014712,0.171
125,ISIC_0014809,0.193
126,ISIC_0014829,0.358
127,ISIC_0014857,0.089
128,ISIC_0014931,0.254
129,ISIC_0014937,0.06
130,ISIC_0014945,0.159
131,ISIC_0014946,0.119
132,ISIC_0014979,0.209
133,ISIC_0014985,0.282
134,ISIC_0014989,0.098
135,ISIC_0015043,0.155
136,ISIC_0015062,0.087
137,ISIC_0015124,0.207
138,ISIC_0015144,0.247
139,ISIC_0015211,0.126
140,ISIC_0015243,0.155
141,ISIC_0015256,0.153
142,ISIC_0015313,0.084
143,ISIC_0015372,0.158
144,ISIC_0015401,0.284
145,ISIC_0015443,0.111
146,ISIC_0015445,0.603
147,ISIC_0015483,0.09
148,ISIC_0015496,0.118
149,ISIC_0015627,0.108
